app,IPC:mean,IPC:std,hitsL3:mean,hitsL3:std,progress:mean,progress:std,slowdown:mean,slowdown:std
00_xalancbmk_base,1.1163233333333331,0.040562798637832416,1062357666.6666666,87395062.36815289,0.4816693610093141,0.017833911314597637,2.0761129541321663,0.07686852704414472
01_sphinx3_base,1.17957,0.0590877119205001,210047666.66666663,38143376.32320103,0.47951689354909527,0.02531107187304058,2.0854322620389913,0.11007855318745338
02_omnetpp_base,0.7337416666666666,0.00577815336706575,1152123333.3333333,9648649.300981645,0.47477848811126067,0.006224125155820565,2.1062453860918353,0.02761189737988523
03_dc.B,1.0686466666666667,0.032450501280154836,511743333.3333333,23074794.935889103,0.6022455953156964,0.02122054638401813,1.660452160676744,0.05850719767508379
04_lu.C,1.8750933333333333,0.01607647142047443,250767666.66666663,16573662.912384013,0.6445458097441309,0.00651107878016906,1.5514801041014847,0.01567275596389314
05_sp.C,2.0289466666666667,0.025346053604719764,224931666.66666663,93027873.49140756,0.624534690443455,0.01088722748302621,1.6011920799626733,0.027912848854233265
06_bzip2_base,1.4084899999999998,0.010013835429045178,644720666.6666666,10620138.668272352,0.7926015824007623,0.008043308205035888,1.2616679327980083,0.012803386040647308
07_calculix_base,2.1265300000000003,0.02651459220881986,34558633.333333336,3034805.8345359312,0.7767323278995102,0.013817077094398885,1.2874448044466809,0.022902000443226694
