interval,hitsperOccupL3(KB)
0,46.52644230769231
1,144.1658950617284
2,107.75271739130434
3,1089.8693181818182
4,637.3253676470588
5,277.43848425196853
6,109.69419642857143
7,52.317626953125
8,216.6326530612245
9,449.75279850746267
10,113.75911458333333
11,85.74055989583333
12,515.5457089552239
13,650.3519736842105
14,744.0769230769231
15,254.82708333333332
16,343.09442934782606
17,188.29116379310344
18,153.85850694444446
19,137.59137658227849
20,316.41080097087377
21,1357.6539179104477
22,142.15257352941177
23,444.87179487179486
24,281.20613532110093
25,336.2916666666667
26,312.25263554216866
27,29.380126953125
28,547.2681451612904
29,1295.87890625
30,100.5045
31,67.32614087301587
32,286.37545955882354
33,481.0590909090909
34,246.54401408450704
35,103.07083333333334
36,33.72640306122449
37,274.7870710784314
38,331.7101883561644
39,82.38690476190476
40,118.27739197530865
41,187.66857394366198
42,575.4236778846154
43,212.85668103448276
44,129.25886824324326
45,88.07666015625
46,359.22569444444446
47,449.758064516129
48,304.6671195652174
49,108.50506756756756
50,2398.3046875
51,182.41645408163265
52,520.703125
53,1194.627192982456
54,419.7608173076923
55,719.7017045454545
56,370.3859186746988
57,560.7486263736264
58,248.53044871794873
59,111.60518292682927
60,412.0054945054945
61,511.1360677083333
62,201.96493055555555
63,4607.09375
64,499.39144736842104
65,284.6415441176471
66,312.33947368421053
67,398.230198019802
68,416.4583333333333
69,374.56756756756755
70,172.141628440367
71,150.55685763888889
72,720.6971153846154
73,286.7541881443299
74,256.5127976190476
75,106.81177884615384
76,158.72491197183098
77,152.005859375
78,276.5640625
79,171.80856481481482
80,79.12802419354838
81,108.9894801980198
82,135.22297297297297
83,356.2488567073171
84,143.33821902654867
85,129.4025930851064
86,228.06209935897436
87,286.2202380952381
88,628.433908045977
89,477.16954022988506
90,226.23825
91,345.51018258426967
92,702.5533536585366
93,508.3
94,4263.316964285715
95,478.85714285714283
96,423.75
97,261.4114583333333
98,345.66375
99,261.87964108910893
100,523.578869047619
101,354.33145491803276
102,105.05864197530865
103,267.55571705426354
104,833.3544921875
105,285.0862873134328
106,263.0168269230769
107,316.74867021276594
108,159.65966796875
109,266.54283216783216
110,401.3392857142857
111,150.628515625
112,48.22955827067669
113,272.74848300970876
114,298.45435855263156
115,97.22953869047619
116,102.26774691358025
117,242.07386363636363
118,372.48116987179486
119,479.5988805970149
120,269.71656976744185
121,1351.966796875
122,415.80592105263156
123,230.75858778625954
124,122.10858050847457
125,154.57068452380952
126,247.58896396396398
127,207.6831317204301
128,386.18441358024694
129,198.41610054347825
130,249.9407327586207
131,126.4801377118644
132,366.38210227272725
133,270.60537790697674
134,248.54464285714286
135,1531.0729166666667
136,184.67958047945206
137,574.5913461538462
138,251.9833984375
139,1103.6826923076924
140,3453.8680555555557
141,505.24816176470586
142,336.88461538461536
143,190.99577702702703
144,238.03453947368422
145,240.9679969879518
146,307.3734939759036
147,239.32221283783784
148,105.71223958333333
149,124.55325
150,259.5607798165138
151,363.1993140243902
152,291.2759831460674
153,428.0438701923077
154,329.34972426470586
155,655.0715648854962
156,250.82682291666666
157,451.66964285714283
158,444.17291666666665
159,418.76077586206895
160,417.0068933823529
161,189.99078525641025
162,435.55027173913044
163,936.0282258064516
164,364.00735294117646
165,288.9492607526882
166,372.6354166666667
167,19078.046875
168,246.8706395348837
169,242.6287802419355
170,217.85592532467533
171,957.7571202531645
172,207.54128649635035
173,236.79481589147287
174,178.31689453125
175,138.60365853658536
