,Workload,IPC:mean,IPC:std,hitsL3:mean,hitsL3:std,ANTT:mean,ANTT:std,STP:mean,STP:std
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.23246,0.0483194291495,741885156.667,26846020.8061,1.25398346143,0.00665406293984,6.3806573327,0.0338562370196
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.5375766667,0.0375284243385,11984498396.7,18536141.8082,1.24964615685,0.0145339073894,6.40367368945,0.0773985420992
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.972377,0.0443518745339,508546620.0,45996137.372,1.24078918025,0.00658049157922,6.44864305484,0.0343718082839
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.1039,0.0324484842995,5876980926.67,31378067.5844,1.28786722616,0.010415832077,6.21494369871,0.0481384817252
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.7964166667,0.0472364209765,833835380.0,49393257.3783,1.30747192534,0.00605372758564,6.12829319158,0.0284701206901
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,14.99537,0.052705713479,7654269076.67,58731639.1647,1.32377530522,0.0142067223662,6.08407709163,0.0698389927952
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,15.1453696667,0.0207099132543,1037766623.33,16885791.8206,1.35288018435,0.00852712472795,5.94803488397,0.037870518349
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.809511,0.0331202558414,419750973.333,12012541.4845,1.35499272057,0.00678196438074,5.94935996907,0.0284383837453
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.5644533333,0.0512068032557,649585073.333,14842631.6522,1.25252038438,0.00794931942069,6.3936686877,0.0405681102523
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.6510233333,0.0749560809185,6561007760.0,26354971.1276,1.2853415124,0.0110484403289,6.23231498097,0.0552212272774
