,Workload,IPC:mean,IPC:std,hitsL3:mean,hitsL3:std,ANTT:mean,ANTT:std,STP:mean,STP:std
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,16.8273933333,0.0418464857147,766114150.0,14342437.4031,1.28521125775,0.00690042976137,6.23042638113,0.0319412194438
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.16801,0.132480691549,11913605313.3,48981997.9337,1.28159146575,0.0143532946581,6.24479616147,0.069437275366
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.6885443333,0.0707200043764,485471573.333,44274328.5964,1.26743690661,0.00725746549103,6.31368776091,0.0364306768759
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.11601,0.0517591933863,5877865403.33,30212744.1882,1.28985332592,0.00918126540776,6.20766999678,0.0422300678495
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.4248566667,0.0685374639644,839526006.667,16914649.6689,1.33819273551,0.00822638525337,5.98684372623,0.0357427703214
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,14.62261,0.0909438775656,7730385943.33,65664038.0034,1.35717565683,0.0151145718304,5.92504104923,0.0643864470209
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,14.960636,0.0278487623902,1035178476.67,8561571.39295,1.37592335498,0.00743688996554,5.86362612799,0.0324255802372
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.7810133333,0.0264052260736,404534393.333,27818983.6386,1.37022135178,0.00575008597727,5.88051365556,0.0218088093747
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,16.9778476667,0.165468700236,667303663.333,29698646.704,1.3126636974,0.0195626712854,6.11385278586,0.084931627476
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.1984066667,0.0529855200346,6448063430.0,40740479.1926,1.33101037561,0.00935107559269,6.03892755675,0.0405532867509
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,15.9446593333,0.218499474546,1015482943.33,24095062.5269,1.32628639772,0.0168354663426,6.04953246817,0.0743679843162
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.7736666667,0.0641301211081,1443459133.33,34738739.8571,1.29163753144,0.0086499032839,6.20399636052,0.0381366316403
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,15.7061933333,0.174272524034,486207366.667,33883039.6255,1.3604339426,0.0160076963038,5.89280782754,0.0658265435914
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,13.9220933333,0.134526627724,2040501550.0,89810790.4079,1.32363018167,0.0146990622895,6.06439505343,0.0650092699058
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,13.0547843333,0.241788487768,3244810200.0,415717014.508,1.47905709704,0.06766649346,5.52891073842,0.165443411334
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,14.944357,0.174351682648,919042270.0,15201330.6824,1.37521941513,0.0186565778011,5.85207001197,0.0653243010761
