,Workload,IPC:mean,IPC:std,hitsL3:mean,hitsL3:std,ANTT:mean,ANTT:std,STP:mean,STP:std
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.5609373333,0.0382558285058,1891026633.33,47028133.0472,1.50365617085,0.00818831559142,5.44580524238,0.028670364608
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.1500176667,0.0374872891658,2752326233.33,82011779.1419,1.55636953154,0.0098020320568,5.43949131078,0.0336288488433
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.191627,0.0576050464167,9128935733.33,160180366.203,1.58226490135,0.0118950911626,5.22762820702,0.043795387041
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.85886,0.0292438922398,1764829840.0,44590194.8345,1.62933134944,0.00923711063463,5.03972305958,0.0298183397434
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.0700933333,0.0161499484623,3579661000.0,35365155.8645,1.65863422962,0.00854891813697,5.23000885673,0.0331330426572
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,12.352394,0.0273068112748,5478727866.67,102824037.785,1.76238298619,0.0119313574146,4.93296236806,0.0333475749161
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.438171,0.0450985938473,2607942966.67,111561087.425,1.79161069463,0.0108685429823,4.67147913291,0.0253210638378
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,12.2319693333,0.0269423674906,3144201233.33,35400007.465,1.65824263463,0.0117343867817,5.08376003805,0.0278011691102
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,12.0800503333,0.0478313573436,3236877020.0,145656275.145,1.86015643322,0.0128510009029,4.78198945356,0.0296957615859
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,9.980908,0.0303397509109,4919098566.67,38627932.1218,1.637946893,0.00978618665066,5.14788113053,0.0305258604083
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.77540066667,0.0387978773345,4244366500.0,75978042.424,2.3876697617,0.0195938844596,3.79295316376,0.023964317205
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.447229,0.0422852681084,3234299000.0,87093032.6567,2.30229579944,0.0129258604723,4.18612886377,0.0263048708643
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,10.0269636667,0.0198344954646,4792272900.0,31753599.8925,1.84125447854,0.010907285098,4.78000911271,0.0284654213197
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.7300586667,0.0481987711358,4773457833.33,77918343.5394,1.77733653467,0.011171529809,4.87307797561,0.0294942275154
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.4589286667,0.0406648026636,4858702000.0,85244587.2377,2.0949593658,0.0138584304906,4.32301671597,0.0301326488589
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,10.167254,0.0399498609009,5343480333.33,129402876.085,2.14292660686,0.0157533110884,4.19126200136,0.030400198858
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.35080366667,0.0375872167454,4520396666.67,98337808.1615,2.30470870763,0.0153332839887,3.99976583205,0.0257196462313
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,9.117436,0.0455021881562,4502496000.0,127145244.153,2.28044605217,0.0141591001827,4.0410725277,0.0261054759897
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.50935166667,0.0328204909013,4123682333.33,61762018.8789,2.17787180998,0.0178442729288,4.00736370253,0.0251158010978
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.61563533333,0.023725758899,4895506000.0,46194856.9684,2.65879363302,0.0173193265224,3.53888568592,0.0191391817043
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,8.31786066667,0.0365051109709,4431740666.67,69139635.5621,2.62983251322,0.0221398709768,3.29427817453,0.0215564004577
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.53638833333,0.0802932110497,4346481666.67,122386713.973,2.35463773323,0.0173696431209,3.61606648075,0.0315861359598
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,7.99889466667,0.0325688636277,4869498333.33,83202181.2575,2.96706690289,0.0277569354815,3.04056331172,0.0192420877437
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.42272133333,0.0195857314049,5370863333.33,68279196.1142,2.81112669048,0.0166953987905,3.28507700641,0.0178059127309
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,8.12536833333,0.0283123552947,4726854000.0,76633101.1639,2.97586268412,0.0194642634476,3.1826844441,0.0193407743609
