,Workload,IPC:mean,IPC:std,hitsL3:mean,hitsL3:std,ANTT:mean,ANTT:std,STP:mean,STP:std
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.2434633333,0.0456401314634,768022390.0,23953523.7393,1.25429903636,0.00656090107615,6.3799117644,0.0332255569146
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.60499,0.0470979224595,12076980290.0,22453648.6292,1.24238018686,0.0144286575514,6.45247647455,0.0800363859045
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.9610953333,0.041902621354,552146330.0,52680900.9189,1.24150344736,0.00651992702284,6.44505009575,0.0339366013131
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.3891633333,0.0467101127523,5951052303.33,31234851.6265,1.26160318698,0.010042578021,6.34793163509,0.0542407549671
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.78881,0.0344605141188,954658386.667,39401843.016,1.30868481418,0.00573306466416,6.12296127477,0.026686888609
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,15.0319733333,0.0532517339311,8576501723.33,204824986.741,1.31510518115,0.0133591154442,6.14185812446,0.0758229078517
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,15.193263,0.0182862071974,1538335843.33,28917201.0249,1.34806489895,0.00843482483397,5.97072873592,0.0379373387334
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.7551076667,0.0265802912011,580804356.667,21310990.0921,1.35980720933,0.00673672471301,5.92627423418,0.02806722639
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.5551833333,0.0513274610029,686317613.333,15673957.6165,1.25290868229,0.00796970613222,6.39117059597,0.0405831585674
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.8732,0.0792858448905,6663608120.0,32876695.4469,1.26496923325,0.0106485759,6.35368816887,0.0597063143493
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.8222633333,0.0289064228215,1031785516.67,8528649.80561,1.25683376991,0.00595870689198,6.37212873612,0.0305236462821
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.80995,0.0224915184014,1369318646.67,13181933.3239,1.2948901913,0.00449690707442,6.21068498679,0.0216328485468
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,16.2971633333,0.0463266604308,507820333.333,27551525.4052,1.30519387887,0.00721239641103,6.13577931417,0.0337211452112
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,14.0634976667,0.0356085439513,2274679546.67,35288703.1202,1.31429829604,0.00746828465831,6.12181975563,0.0345095833181
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,13.322443,0.0418328896563,4077524733.33,45746265.8018,1.41020978501,0.0109596452869,5.79572286337,0.0374817530822
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,15.8947433333,0.038285519939,941774840.0,20230136.4928,1.29139086206,0.00623727458991,6.20229535623,0.0300025075562
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.859829,0.0921589123272,2806808566.67,136516707.94,1.4549206297,0.0128842895659,5.56058092675,0.0463171147119
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,11.984919,0.0485897537793,11748275310.0,209741215.402,1.51628286154,0.0123778319493,5.48944302971,0.0495415752323
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,15.2691116667,0.0747338450927,1936001066.67,52386952.6165,1.33534474198,0.00994269036354,6.02033750096,0.0399117106115
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,15.4546066667,0.182574169951,733739306.667,43418490.7291,1.45767126893,0.0161912304065,5.55355524537,0.0700889980449
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.5603556667,0.0687667599959,1849960200.0,95945499.5614,1.47655873898,0.00870958874587,5.48952742065,0.034414646845
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.020747,0.0529842283829,3082410966.67,112710810.544,1.54721389526,0.0120061977111,5.41834072756,0.0331253278768
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.453085,0.0395604450514,8184852533.33,76045200.6823,1.52970989907,0.0107513080967,5.37442972923,0.0433835753173
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.7642033333,0.0885663572319,1804381256.67,48917750.0566,1.62186338996,0.0164848106761,5.02760175735,0.0464254385684
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.2923263333,0.210477978535,3559400666.67,141787968.018,1.52590425858,0.0317586901992,5.36050411399,0.119459873131
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,12.0136266667,0.0769361010991,7466677533.33,248974446.86,1.78391025844,0.0277856057808,4.85677122968,0.0393540064907
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.29491,0.0835056070153,2523847833.33,115244308.578,1.75018412707,0.0198778137467,4.71279385264,0.0429355651017
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,11.8935513333,0.11330714342,4090172913.33,152590720.569,1.64627580655,0.0163643490799,5.01146946692,0.0510608996174
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,11.413946,0.258840200501,3389956503.33,395380683.054,1.84876915195,0.0654247873517,4.57650940763,0.104133893223
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,10.2329803333,0.0743179280546,6279645066.67,540093057.893,1.56863507429,0.0257671814547,5.34859574471,0.0449519578936
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.68380733333,0.0615378980792,4496723933.33,63019163.9228,2.28498293296,0.0254237249753,3.80578541622,0.0344736280237
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.259284,0.0533157584491,3265007300.0,130689968.459,2.35959295643,0.0307175714671,4.13513290659,0.0271197297669
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,9.687806,0.126850850377,6725219666.67,994012536.865,1.84542147466,0.0615054726728,4.69435849572,0.0669623007665
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.5413143333,0.0821959553101,5707346866.67,151382093.174,1.80857618994,0.020775891927,4.85806016879,0.0457089129719
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.2890093333,0.0811062409662,7202481333.33,266959410.119,2.11016905815,0.0332506841271,4.35597531529,0.0435043506232
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,9.639926,0.0604313841614,7508040666.67,663794307.007,2.21446449162,0.0260876024708,4.032777794,0.0375213305471
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.109326,0.0733973050436,6578122666.67,898780800.038,2.27983261676,0.0465287387541,3.96932612698,0.0559764765128
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,8.38442466667,0.0888881450138,6348555666.67,528520102.539,2.35588081979,0.078458516801,3.86022855026,0.0436336899685
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.46005433333,0.0373025570571,3791981133.33,102200328.156,2.09006579202,0.0199601689205,4.04318103561,0.0289710075869
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.44293233333,0.0450109326016,8431398666.67,147826619.991,2.61760429669,0.0238275439032,3.62227009385,0.0359605429498
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,7.91708766667,0.0278596152881,4982296000.0,70334775.6519,2.65258203582,0.0172750366733,3.19152363078,0.0198633549592
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.28081866667,0.0810568005886,4707095666.67,224118581.366,2.36095989685,0.0336502749497,3.56895667291,0.042833932071
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,7.78636333333,0.0488189805847,4253210000.0,120471157.233,2.70548117082,0.0384934900421,3.06966691933,0.0296306679911
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.55766133333,0.0473933230143,6210025333.33,144534932.094,2.77473073306,0.0214996293392,3.3609164832,0.0239810040677
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,7.74981533333,0.0312791757457,6556604000.0,421780251.718,3.01661643636,0.0440636483352,3.09669780389,0.0208001678591
