Index,Workload,IPC,hitsL3
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.1981,747715390.0
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.63502,11892157470.0
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.925992,464554200.0
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.21193,5835019200.0
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.87788,776923370.0
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,14.566619000000001,7122865610.0
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,14.924723000000002,975796940.0
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.907397000000001,446732400.0
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.770041000000003,661348160.0
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.461530000000002,6530921980.0
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.714517999999998,999069390.0
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.72043,1286888010.0
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,16.15616,491598420.0
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,14.021123999999999,1904302130.0
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,12.605953999999997,2281900800.0
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,15.611450000000001,830496290.0
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.597112999999998,2041123300.0
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,11.8661,7286693980.0
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,14.769332000000002,1024496900.0
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,15.77815,516457460.0
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.619847,1404240600.0
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.152518999999998,1926104000.0
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,12.872478,7448250000.0
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.80704,1101838250.0
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,10.948227,1863870200.0
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,12.275712999999998,3453435800.0
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.399220999999999,1935192700.0
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,12.226435,2848582150.0
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,12.110654000000002,1406975000.0
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,9.823293,3461147400.0
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.541447999999999,2993292200.0
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.507523,1151890200.0
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,9.857844,2961267900.0
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.579355000000001,2677674700.0
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.365491,2406009000.0
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,10.069492,3071447200.0
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.321266,2508156200.0
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,9.162868,2359880600.0
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.526982,2670440600.0
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.524318,2292630300.0
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,8.181470000000001,2768853000.0
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.478371,2963022900.0
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,8.011489000000001,2543315400.0
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.386275999999999,2384078500.0
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,8.037426,2212604000.0
