Index,Workload,IPC,hitsL3
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,16.79936,807137030.0
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.43088,12017395660.0
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.741751,488354180.0
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.371299999999998,5985870230.0
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.409139999999997,943469730.0
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,14.60761,8356702820.0
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,14.931386000000002,1568193000.0
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.710540000000002,565931470.0
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,16.993548,781993710.0
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.543050000000001,6572613380.0
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.070569,1088986220.0
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.85025,1448834740.0
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,15.680670000000001,481976060.0
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,13.804439999999998,2332894790.0
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,13.119487,4072861500.0
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,14.733187000000001,1064169240.0
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.213026,3183493500.0
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,11.826424,10129105230.0
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,14.797302000000002,2307280600.0
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,14.541670000000002,815621660.0
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,14.665680000000002,1990024400.0
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,14.44363,3022506300.0
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.468668000000001,8023744400.0
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.61559,1939570880.0
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.284521,3616358300.0
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,11.720984999999999,6457038500.0
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,10.915053,2634452900.0
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,10.900256,4245993000.0
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,11.71506,3118475930.0
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,10.158754,5114180500.0
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.52829,5206974000.0
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.495358,2505973800.0
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,9.794284,5524310800.0
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.510853999999998,4238157500.0
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.204718,6331709000.0
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,9.65412,7174460000.0
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.168762,7316462000.0
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,8.445058,5167923000.0
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.376786,6610247000.0
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.539309999999999,9003060000.0
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,7.732284999999999,5012598000.0
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.078015,4799655000.0
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,7.787664,4307335000.0
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.599355,4747708000.0
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,7.678625,5105202000.0
