Index,Workload,IPC,hitsL3
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.317700000000002,778168040.0
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.59631,12088845260.0
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.977970999999998,550111190.0
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.42574,5979428270.0
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.82689,939491190.0
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,15.11204,8344011570.0
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,15.200406000000001,1491754410.0
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.762574,586593820.0
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.543556,680325280.0
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.853229999999998,6640215490.0
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.788232999999998,1022216120.0
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.800829999999998,1373404480.0
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,16.220390000000002,520499820.0
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,14.034248000000002,2252640220.0
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,13.343396,4042779300.0
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,15.889707000000001,916734670.0
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.838556,2844554200.0
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,11.989865999999997,11950253420.0
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,15.265737999999999,1929439300.0
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,15.19375,695197970.0
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.706742,1885304400.0
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.003905,2985557000.0
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.44618,8260763100.0
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.794120000000001,1821178670.0
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.294976,3554869500.0
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,11.983327,7318704500.0
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.404189,2646422500.0
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,11.857517999999999,4227730000.0
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,11.401201,3166676000.0
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,10.142022,7024854300.0
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.634487,4486403200.0
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.239715999999998,3230322600.0
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,9.840356,5533325000.0
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.478823,5596352300.0
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.331336,6834351000.0
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,9.620815,6791904000.0
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.118206,6090864000.0
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,8.319975,6888983000.0
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.48447,3765788000.0
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.480334000000001,8542486000.0
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,7.9122010000000005,5019290000.0
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.301155,4504898000.0
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,7.822101,4125121000.0
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.63618,6369682000.0
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,7.765201,7115910000.0
