Index,Workload,IPC,hitsL3
1,bwaves-dealII-h264ref-hmmer-wrf-ep.C-ft.C-sp.B,17.22308,785178380.0
2,bwaves-gobmk-gromacs-namd-tonto-bt.B-cg.B-cg.C,15.746170000000001,11970904620.0
3,astar-gobmk-h264ref-leslie3d-namd-tonto-zeusmp-bt.C,15.919813,492960600.0
4,calculix-gobmk-milc-wrf-bt.C-cg.C-ep.C-ua.B,15.56249,5920251100.0
5,bwaves-gobmk-perlbench-ep.B-ep.C-ft.C-sp.B-ua.B,15.826860000000002,926455240.0
6,xalancbmk-bwaves-calculix-dealII-gromacs-leslie3d-sjeng-cg.B,14.613099000000002,12280259140.0
7,lu.C-bzip2-dealII-gromacs-leslie3d-milc-ep.B-ft.B,14.975853,1396226920.0
8,libquantum-hmmer-milc-sjeng-ep.B-ep.C-ft.B-mg.C,14.893337,619701360.0
9,sp.C-astar-gamess-gobmk-h264ref-povray-bt.C-ft.B,17.776522999999997,690838400.0
10,sphinx3-bwaves-bzip2-gobmk-povray-zeusmp-bt.C-cg.C,14.75139,6652775120.0
11,dc.B-sp.C-astar-perlbench-sjeng-tonto-wrf-bt.C,16.877607,1046088940.0
12,soplex-lu.C-calculix-tonto-wrf-zeusmp-ep.B-ep.C,14.840919999999999,1342029960.0
13,lu.C-sp.C-gobmk-h264ref-hmmer-leslie3d-povray-tonto,16.18962,516161950.0
14,sphinx3-omnetpp-calculix-gobmk-gromacs-h264ref-leslie3d-ep.B,14.018084000000002,2264518300.0
15,xalancbmk-mcf-bzip2-calculix-gobmk-milc-ft.C-mg.C,12.663627000000002,3457637100.0
16,libquantum-dc.B-lu.C-astar-gamess-hmmer-povray-bt.B,15.679450999999998,870360590.0
17,sphinx3-mcf-sp.C-astar-bwaves-dealII-gamess-milc,12.657791999999999,2604522000.0
18,xalancbmk-mcf-lu.C-astar-h264ref-leslie3d-povray-cg.C,11.979370999999999,13299148710.0
19,xalancbmk-lu.B-lu.C-astar-calculix-dealII-gromacs-wrf,14.798240999999997,1665019900.0
20,libquantum-lbm-lu.C-gamess-gobmk-leslie3d-namd-povray,15.88388,635867210.0
21,soplex-libquantum-lu.B-sp.C-calculix-gobmk-perlbench-bt.B,15.596627000000002,1711262400.0
22,xalancbmk-sphinx3-soplex-sp.C-dealII-gamess-zeusmp-bt.B,15.174095000000001,2722801800.0
23,soplex-dc.B-lu.B-lu.C-bwaves-gamess-gromacs-cg.C,13.131924,9340191000.0
24,sphinx3-libquantum-lbm-sp.C-bzip2-gromacs-hmmer-leslie3d,12.86125,1592385060.0
25,xalancbmk-omnetpp-libquantum-sp.C-astar-gobmk-gromacs-milc,11.039995,3497430400.0
26,xalancbmk-soplex-omnetpp-mcf-sp.C-bwaves-dealII-gamess,12.392446999999999,5249701000.0
27,soplex-dc.B-lu.B-lu.C-sp.C-astar-h264ref-leslie3d,11.387058,2658805400.0
28,sphinx3-omnetpp-mcf-lbm-dc.B-dealII-leslie3d-namd,12.317061,3252470600.0
29,xalancbmk-sphinx3-lbm-dc.B-sp.C-bzip2-leslie3d-povray,12.096283,2916289200.0
30,xalancbmk-soplex-mcf-dc.B-lu.C-astar-bzip2-dealII,9.982965,4918854000.0
31,soplex-omnetpp-mcf-lbm-lu.B-lu.C-calculix-milc,8.732655,4751139100.0
32,xalancbmk-libquantum-lbm-lu.B-lu.C-sp.C-calculix-gamess,12.470832999999999,3134910000.0
33,xalancbmk-omnetpp-mcf-lbm-dc.B-lu.C-astar-gamess,10.006456,4708252200.0
34,xalancbmk-sphinx3-omnetpp-dc.B-lu.C-sp.C-bzip2-calculix,11.746618999999999,4889175300.0
35,xalancbmk-sphinx3-soplex-dc.B-lu.C-sp.C-bwaves-bzip2,10.470569,4940347000.0
36,xalancbmk-sphinx3-omnetpp-mcf-libquantum-dc.B-sp.C-bwaves,10.207103,5247427000.0
37,xalancbmk-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.44315,4422476000.0
38,xalancbmk-sphinx3-soplex-omnetpp-libquantum-lbm-sp.C-astar,9.14357,4471928000.0
39,sphinx3-soplex-mcf-libquantum-lbm-dc.B-lu.B-astar,8.639902999999999,4009091000.0
40,xalancbmk-mcf-lbm-dc.B-lu.B-lu.C-sp.C-bzip2,8.593178,4844202000.0
41,sphinx3-soplex-omnetpp-lbm-dc.B-lu.B-lu.C-sp.C,8.287053,4383803000.0
42,sphinx3-soplex-omnetpp-libquantum-dc.B-lu.B-lu.C-sp.C,9.66851,4317885000.0
43,soplex-mcf-libquantum-lbm-dc.B-lu.B-lu.C-sp.C,8.013657,4789304000.0
44,xalancbmk-sphinx3-omnetpp-libquantum-lbm-dc.B-lu.B-lu.C,8.459928,5299471000.0
45,xalancbmk-sphinx3-mcf-lbm-dc.B-lu.B-lu.C-sp.C,8.170079,4647072000.0
