app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
00_xalancbmk_base,0.37067100000000003,353,120457000.0,0.39715900000000004,667,125435000.0
01_sphinx3_base,1.0695,3847,856687000.0,0.895759,1746,524164000.0
02_omnetpp_base,0.455599,1472,1790800000.0,0.435001,660,1463250000.0
03_libquantum_base,1.55585,2160,493576000.0,1.52882,2889,552413000.0
04_lbm_base,1.1396899999999999,1953,325071000.0,1.28377,4958,215315000.0
05_dc.B,0.7676,1244,1295730000.0,0.704759,814,875834000.0
06_lu.B,1.65438,4743,687520000.0,1.61138,4223,805646000.0
07_lu.C,1.62289,3719,799841000.0,1.6032799999999998,3651,737414000.0
