app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
05_gromacs_base,1.7961900000000002,881,148259000.0,1.72347,491,154407000.0
04_bzip2_base,1.33293,1922,375593000.0,1.02261,568,268757000.0
06_hmmer_base,1.48281,233,960149.0,1.5846200000000001,656,1765130.0
07_leslie3d_base,1.69935,1994,83151600.0,2.05018,3095,100213000.0
00_sphinx3_base,1.54336,7039,395488000.0,1.10923,2184,244234000.0
03_sp.C,1.67402,2008,100742000.0,2.03463,4627,189651000.0
02_lbm_base,1.18916,1472,78006200.0,1.46485,5385,61364200.0
01_libquantum_base,1.75062,2889,169689000.0,1.8283200000000002,3156,187745000.0
