app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
00_bwaves_base,1.99239,3637,124498000.0,2.08747,7044,117733000.0
01_dealII_base,2.34596,1675,57367200.0,2.30443,1004,47034200.0
02_h264ref_base,2.06268,1133,48766000.0,2.02493,627,35137700.0
03_hmmer_base,1.5370700000000002,245,1378280.0,1.5971,648,3483160.0
04_wrf_base,2.53249,3335,106069000.0,2.51759,1022,90350900.0
05_ep.C,1.27704,206,1440550.0,1.3641,1340,3318640.0
06_ft.C,2.8307900000000004,7395,398786000.0,2.8586099999999997,2354,394199000.0
07_sp.B,2.22094,2564,68832000.0,2.49038,6132,79241600.0
