app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
00_xalancbmk_base,0.8325620000000001,3065,697146000.0,0.68984,1487,274518000.0
01_omnetpp_base,0.770269,3560,1887170000.0,0.731354,1519,1788260000.0
02_mcf_base,0.589762,4958,1801360000.0,0.48935100000000004,2680,1132260000.0
03_lbm_base,1.47869,2484,131623000.0,1.80482,6795,51655200.0
04_dc.B,0.8897780000000001,1156,464926000.0,1.03003,1254,890172000.0
05_lu.C,1.93423,3214,294255000.0,2.01857,5276,316889000.0
06_astar_base,0.692495,980,127747000.0,0.679161,664,129133000.0
07_gamess_base,2.65257,506,129098000.0,2.56333,212,125365000.0
