app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
04_ep.B,1.32597,374,2011310.0,1.35965,282,2510240.0
05_ep.C,1.32666,369,1447170.0,1.36225,646,2473950.0
06_ft.B,3.08798,2574,212388000.0,3.10162,1877,201467000.0
01_hmmer_base,1.56493,362,1743310.0,1.58499,928,2341080.0
03_sjeng_base,1.6166,236,4150940.0,1.58746,56,2154460.0
07_mg.C,2.68358,6286,58201600.0,2.7030000000000003,6868,56311200.0
00_libquantum_base,2.25632,6732,94485100.0,2.2845299999999997,5140,97544300.0
02_milc_base,0.90175,3710,28901900.0,0.931257,4439,27337000.0
