app,IPC-hg,OccupL3-hg,HitsL3-hg,IPC-np,OccupL3-np,HitsL3-np
06_ft.C,2.7898099999999997,2974,365518000.0,2.80531,1811,376032000.0
02_bzip2_base,1.3765,1585,362548000.0,1.25908,668,313535000.0
04_gobmk_base,1.2988,819,68456900.0,1.26306,818,57368900.0
03_calculix_base,2.13207,224,25732900.0,2.1638,223,23544300.0
07_mg.C,2.74114,2394,58374200.0,2.78863,6166,54138400.0
01_mcf_base,0.7131029999999999,5761,1650550000.0,0.510211,3904,1090260000.0
05_milc_base,1.02524,1323,24715500.0,1.01536,4912,26190200.0
00_xalancbmk_base,1.17315,4675,870773000.0,0.800503,1908,340832000.0
