interval,hitsperOccupL3(KB)
0,6.374540441176471
1,69.01490724381625
2,232.33081896551724
3,144.70356514084506
4,189.35489130434783
5,119.72404371584699
6,187.7074353448276
7,145.8059543918919
8,333.12784090909093
9,64.03933823529412
10,93.80638888888889
11,62.994043733681465
12,78.31565884476534
13,125.88215361445783
14,75.07659527972028
15,71.16850083056478
16,69.83938717532467
17,284.60324367088606
18,373.30897177419354
19,207.48871527777777
20,323.2466856060606
21,217.15131578947367
22,238.58061079545453
23,270.83125
24,258.4195884146341
25,117.19324324324324
26,180.2828804347826
27,223.22132731958763
28,339.626953125
29,246.95997191011236
30,81.17852145522389
31,106.22750603864735
32,78.27986111111112
33,152.7160773026316
34,71.31635551948052
35,140.0502533783784
36,83.1999521072797
37,80.18221334586467
38,83.73139312977099
39,55.25417212041885
40,88.65221774193549
41,350.1350961538462
42,173.398681640625
43,116.17029671717172
44,233.27256944444446
45,275.5480769230769
46,316.01751893939394
47,333.31591796875
48,194.31447072072072
49,318.60778985507244
50,326.50284090909093
51,291.964897260274
52,186.0021186440678
53,84.84893822393822
54,97.72225103734439
55,87.7585906374502
56,90.69823369565218
57,102.67421497584542
58,58.62152777777778
59,82.27142518939394
60,70.60705236486487
61,270.803125
62,226.00433168316832
63,324.88199626865674
64,69.90279968454259
65,211.63480392156862
66,241.14150280898878
67,248.83556547619048
68,322.7863805970149
69,282.48758561643837
70,336.4855769230769
71,222.076171875
72,218.48034793814432
73,226.05065789473684
74,333.43105158730157
75,95.77760650224215
76,225.96513157894736
77,205.1087853773585
78,318.3917572463768
79,79.24359540636043
80,62.15696428571429
81,133.39517857142857
82,162.3840579710145
83,139.21774193548387
84,133.6333984375
85,52.097376543209876
86,91.52320675105486
87,56.78363419618529
88,277.32523148148147
89,300.34296875
90,102.04258720930233
91,221.37177835051546
92,207.25711633663366
93,251.86495535714286
94,349.6458333333333
95,115.14695945945945
96,215.33539603960395
97,205.7669642857143
98,165.3227576335878
99,208.4002403846154
100,352.70997807017545
101,352.57974137931035
102,322.5078125
103,309.23591549295776
104,202.58159722222223
105,224.86211340206185
106,287.0912828947368
107,53.49560889929742
108,85.05027721774194
