interval,hitsperOccupL3(KB)
0,55.47733516483517
1,85.49249588815789
2,95.31156015037594
3,168.3259943181818
4,197.20081967213116
5,216.28807106598984
6,63.531029929577464
7,268.1079931972789
8,91.2363481228669
9,197.9586038961039
10,131.52580845771143
11,127.57578592814372
12,135.4654431216931
13,266.9845920138889
14,77.27097750865052
15,222.04305135951662
16,125.0013786764706
17,289.2362325174825
18,73.13921310240964
19,74.81883445945945
20,115.55553756476684
21,288.18822957198444
22,83.562874251497
23,146.58984375
24,116.414908008658
25,271.9411496350365
26,184.3672839506173
27,114.8258797653959
28,106.94878112033194
29,326.87219730941706
30,68.49990443425077
31,315.4231194690266
32,77.56406710914455
33,308.9291666666667
34,109.03808198380567
35,287.96484375
36,114.21861979166667
37,697.1020299145299
38,91.1984068627451
39,343.9481707317073
40,86.38018867924528
41,294.1419270833333
42,66.9500374251497
43,143.07220319634703
44,77.81117671009773
45,230.95248287671234
46,92.1701530612245
47,435.8493098159509
48,311.47773279352225
49,411.82707055214723
50,73.1270358306189
51,308.223536036036
52,282.61410788381744
53,201.76109813084113
54,74.99515086206897
55,286.1513157894737
56,427.90725806451616
57,291.0511363636364
58,246.8798828125
59,179.65023291925465
60,306.2244318181818
61,224.7108843537415
62,98.78308823529412
63,112.65961538461538
64,221.39778880866427
65,257.4273858921162
66,280.6654575892857
67,69.35714285714286
68,475.64073741007195
69,393.4881284916201
70,256.16294642857144
71,229.90830115830116
72,241.04636270491804
73,118.99740720524018
74,90.51659549689441
75,112.17364532019704
76,244.01213842975207
77,131.0324652777778
78,216.02314814814815
79,157.9883814102564
80,109.07373903508773
81,181.96340460526315
82,173.1664737654321
83,124.92345814977973
84,265.0091019417476
85,227.98786919831224
86,112.69181485355648
87,178.05309734513276
88,152.72504664179104
89,165.6237244897959
90,306.4372119815668
91,196.1531007751938
92,219.64574898785426
